"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование проверяет работоспособность калькулятора","49666","Тестирование калькулятора: 7+8=15","","2026-02-11","passed","2026-02-11","","test_calc_allure","",""
"Тестирование проверяет авторизацию, добавление товаров в корзину, заполнение информации о покупателе и отображение итоговой суммы в корзине интернет-магазина.","2416","Тестирование интернет-магазина товаров","","2026-02-11","passed","2026-02-11","","test_shop_allure","",""
